name,image_url
Aam Ko Achar,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Aam_Ko_Achar_2h3GWZvwiI.jpg
Aloo Chop,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Aloo_Chop_E3FpakeVRT.jpg
Aloo Gobi,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Aloo_Gobi_xvGyU1Bcs.jpg
Aloo Puri,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Aloo_Puri_3b91JEGGy.jpg
Aloo Tama,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Aloo_Tama_LeToR8rfX.jpg
Anarsa,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Anarsa_GSXo0iJlE.jpg
Banh Mi,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Banh_Mi_KbEOpzcLf.jpg
Bara,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Bara_n9VwTdfzv.jpg
Barfi,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Barfi_lM6uCTz4S6.jpg
Batuk,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Batuk_RMf43Awjl.jpg
Beef Chow Fun,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Beef_Chow_Fun_CzNWw-mR4.jpg
Beef Rendang,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Beef_Rendang_9SzaI5skp.jpg
Bhatmas Sadeko,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Bhatmas_Sadeko_TsqULSo1s.jpg
Bhindi Ko Tarkari,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Bhindi_Ko_Tarkari_OpV4okqsK.jpg
Bibimbap,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Bibimbap_zIsR3VbCE.jpg
Bubble Tea,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Bubble_Tea_bzLsRPqGy.jpg
Buff Burger,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Buff_Burger_IGYXu7oUa.jpg
Buff Choila,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Buff_Choila_n3Vi_iGlr.jpg
Buff Chowmein,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Buff_Chowmein_tgKwXNTSn.jpg
Buff Fry,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Buff_Fry_RTUr7hQRS.jpg
Buff Ko Masu,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Buff_Ko_Masu_gVV9jMWuo.jpg
Buff Momo,https://ik.imagekit.io/6r8dh2vqm/dishes/foodie-buff-momo_64IfiKbni.jpg
Buff Sekuwa,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Buff_Sekuwa_ESziEzxfX.jpg
Bulgogi,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Bulgogi_lzKkFkGw1.jpg
