name,image_url
Dal Bhat Tarkari,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Dal_Bhat_Tarkari_A-Q_2Svm2.jpg
Jaulo,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Jaulo_aWZjGRmIU.jpg
Dhido (Makai),https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Dhido_Makai__GqA94goDL.jpg
Chiura,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Chiura_v_lX3h2_j.jpg
Dahi Chiura,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Dahi_Chiura_2oZoasBjO.jpg
Kheer,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Kheer_q6dTPawikP.jpg
Steamed Momo,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Steamed_Momo_aBkg7G8_J.jpg
Fried Momo,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Fried_Momo_3ux600h_R.jpg
Jhol Momo,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Jhol_Momo_MC_uLkXtI.jpg
Kothey Momo,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Kothey_Momo_25a-fMYdW.jpg
C-Momo,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/C-Momo_6W4nXrTuh.jpg
Chicken Momo,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Chicken_Momo_Wm7XO9HNR.jpg
Buff Momo,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Buff_Momo_WaQP1avA8.jpg
Veg Momo,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Veg_Momo_WBXWIajjw.jpg
Pork Momo,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Pork_Momo_slWkdQJkU.jpg
Open Momo,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Open_Momo_4qm9ej4-C.jpg
Yomari,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Yomari_1E1543AS7.jpg
Chatamari,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Chatamari_o2R_0iWk_.jpg
Bara,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Bara_n9VwTdfzv.jpg
Samay Baji,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Samay_Baji_zRSvmFM0w.jpg
Buff Choila,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Buff_Choila_n3Vi_iGlr.jpg
